Id,Injured,Dead,Keywords,Causes,Consequences
1,2,0,"explosion, laboratory work, evacuation",,"explosion, people"
2,6,0,"fire - consequence, warehousing, evacuation, gas / vapour release, injury",,"environmental, explosion, fire, people"
3,-, -,mining,,explosion
4,6,0,"fire - consequence, storage tanks, injury, unidentified cause","process, unidentified","fire, people"
5,12,0,"storage tanks, gas / vapour release, bursting disc failure, injury",,"environmental, people"
6,0,0,"fire - consequence, storage tanks",,fire
7,-,25,"mining, fatality",,"explosion, people"
8,3,0,"fire - consequence, laboratory work, burns, injury",,"fire, people"
9,3,0,"fire - consequence, exploration, plant / property / equipment, injury",,"fire, people"
10,0,0,"fire - consequence, laboratory work, protective safety equipment",,"explosion, fire, people"
11,170,0,"gas / vapour release, evacuation, warehousing, injury",,"environmental, explosion, people"
12,0,0,"fire - consequence, warehousing, evacuation, unidentified cause","process, unidentified","fire, people"
13,0,0,"drilling/digging/ploughing vehicles, fire - consequence",,"explosion, fire, people"
14,1,0,"fire - consequence, laboratory work, unwanted chemical reaction, burns, evacuation, damage to equipment, injury",,"fire, people, plant"
15,0,3,fatality,,"people, plant"
16,0,1,fatality,,people
17,0,0,"fire - consequence, damage to equipment, warehousing, gas / vapour release, ecological damage",,"environmental, fire, people, plant"
18,5,0,"fire - consequence, warehousing, damage to equipment, injury, gas / vapour release",,"environmental, fire, people, plant"
19,56,0,"black powder (gunpowder), warehousing, damage to equipment, fatality, people, injury",,"explosion, people, plant"
20,12,2,"fire - consequence, explosion, fatality, solids processing, injury, mining",,"explosion, fire, people"
21,0,2,"demolition, fatality",,"people, plant"
22,0,0,"fire - consequence, evacuation, warehousing",,"fire, people"
23,1,0,"fire - consequence, warehousing, damage to equipment, storage tanks, cylinder, burns, injury",,"fire, people, plant"
24,2,0,"laboratory work, evacuation, burns, container, injury",,"explosion, people"
25,0,0,"fire - consequence, storage, damage to equipment",,"fire, plant"
26,0,0,"evacuation, laboratory work, gas / vapour release",,"environmental, people"
27,24,1,"gas / vapour release, fire - consequence, evacuation, fatality",,"environmental, fire, people"
28,0,0,"excavation, contamination, preventative measures",,plant
29,0,0,human causes,,environmental
30,0,0,"offshore, exploration, evacuation, weather effects",,people
31,40+, 11+,"marine tanker, demolition, fatality, injury",,"explosion, people"
32,0,0,"fire - consequence, storage tanks, explosion",,"explosion, fire"
33,5,0,"gas / vapour release, people, damage by backhoe, bulldozer/jcb/digger, chemical fumes, injury",external,"environmental, people"
34,4,0,"fire - consequence, warehousing, burns, injury",,"fire, people"
35,-,3,fatality,,"people, plant"
36,0,0,"fire - consequence, laboratory work, unknown chemicals, unidentified cause","process, unidentified",fire
37,600+,20,"warehousing, fire - consequence, fatality, evacuation, injury",,"explosion, fire, people"
