Id,Keywords
1,"explosion, laboratory work, evacuation"
2,"fire - consequence, warehousing, evacuation, gas / vapour release, injury"
3,mining
4,"fire - consequence, storage tanks, injury, unidentified cause"
5,"storage tanks, gas / vapour release, bursting disc failure, injury"
6,"fire - consequence, storage tanks"
7,"mining, fatality"
8,"fire - consequence, laboratory work, burns, injury"
9,"fire - consequence, exploration, plant / property / equipment, injury"
10,"fire - consequence, laboratory work, protective safety equipment"
11,"gas / vapour release, evacuation, warehousing, injury"
12,"fire - consequence, warehousing, evacuation, unidentified cause"
13,"drilling/digging/ploughing vehicles, fire - consequence"
14,"fire - consequence, laboratory work, unwanted chemical reaction, burns, evacuation, damage to equipment, injury"
15,fatality
16,fatality
17,"fire - consequence, damage to equipment, warehousing, gas / vapour release, ecological damage"
18,"fire - consequence, warehousing, damage to equipment, injury, gas / vapour release"
19,"black powder (gunpowder), warehousing, damage to equipment, fatality, people, injury"
20,"fire - consequence, explosion, fatality, solids processing, injury, mining"
21,"demolition, fatality"
22,"fire - consequence, evacuation, warehousing"
23,"fire - consequence, warehousing, damage to equipment, storage tanks, cylinder, burns, injury"
24,"laboratory work, evacuation, burns, container, injury"
25,"fire - consequence, storage, damage to equipment"
26,"evacuation, laboratory work, gas / vapour release"
27,"gas / vapour release, fire - consequence, evacuation, fatality"
28,"excavation, contamination, preventative measures"
29,human causes
30,"offshore, exploration, evacuation, weather effects"
31,"marine tanker, demolition, fatality, injury"
32,"fire - consequence, storage tanks, explosion"
33,"gas / vapour release, people, damage by backhoe, bulldozer/jcb/digger, chemical fumes, injury"
34,"fire - consequence, warehousing, burns, injury"
35,fatality
36,"fire - consequence, laboratory work, unknown chemicals, unidentified cause"
37,"warehousing, fire - consequence, fatality, evacuation, injury"
38,"fire - consequence, fatality, storage, injury"
39,"fire - consequence, gas / vapour release"
40,"fire - consequence, gas / vapour release, plant / property / equipment"
41,"loading, fatality, injury"
42,"fatality, injury, mining"
43,"fire - consequence, gas / vapour release, injury, unknown chemicals"
44,"environmental, warehousing, fire - consequence, injury, damage to equipment"
45,"fatality, injury, mining"
46,"laboratory work, mixing, unwanted chemical reaction, damage to equipment, container"
47,"fire - consequence, warehousing, evacuation, injury"
48,"human causes, rupture, fire - consequence, injury"
49,"fire - consequence, fatality, evacuation, mining"
50,"burns, fire - consequence, fatality, damage to equipment, injury"
51,"fire - consequence, damage to equipment, contamination, design or procedure error, unknown chemicals"
52,"fire - consequence, contamination, warehousing"
53,"storage, storage equipment, fire - consequence, gas / vapour release, toxic fumes"
54,fire - consequence
55,"unwanted chemical reaction, storage"
56,"fire - consequence, damage to equipment, storage, injury"
57,"fire - consequence, evacuation, storage, injury"
58,
59,"fatality, safety procedures inadequate, injury, mining"
60,"laboratory work, injury"
61,"gas / vapour release, mechanical equipment failure, injury"
62,"mechanical equipment failure, storage"
63,"diesel fuel, excavation, spill"
64,"excavation damage, evacuation, injury"
65,"fire - consequence, storage tanks,"
66,"hot work, injury"
67,"ecological damage, pollution, demolition"
68,"fatality, gas - flammable, injury"
69,"fall, injury"
70,"drums, leak, storage, injury"
71,"bulldozer/jcb/digger, gas / vapour release, injury"
72,"fire - consequence, laboratory work, injury"
73,"fire - consequence, exploration"
74,"fire - consequence, storage equipment"
75,"operator error, asphyxiation, injury"
76,"fatality, mining"
77,"evacuation, storage, toxic chemical"
78,"fire - consequence, storage"
79,"fire - consequence, damage to equipment, spill, corrosion, heating equipment"
80,"tank failure, spill, pollution, damage to equipment, storage tanks"
81,
82,"lifting equipment, fatality, electrical equipment failure"
83,"fatality, fall, safety procedures inadequate, injury"
84,"laboratory work, evacuation, fatality, injury"
85,"excavation, fatality, evacuation, fire - consequence, injury"
86,"fire - consequence, storage, fatality"
87,"exploration, capsize of platform, mechanical equipment failure"
88,"spill, offshore"
89,"fatality, injury, mining"
90,"fire - consequence, people"
91,"exploration, fatality, explosive"
92,"fall, fatality, evacuation"
93,"gas / vapour release, warehousing, fracture, operator error, people"
94,"fire - consequence, warehousing"
95,"solids processing, injury, fatality, mining"
96,"excavation, fatality"
97,"spill, pollution, mechanical equipment failure, design or procedure error, storage tanks"
98,"hot work, fatality, offshore"
99,"evacuation, inspection, fatality, mining"
100,"fatality, injury, mining"
101,"construction, fatality, injury"
102,"welding, storage tanks, fire - consequence, evacuation, fatality, injury"
103,"fire - consequence, marine transport, exploration"
104,"fire - consequence, evacuation"
105,
106,"offshore, evacuation"
107,"cleaning, pollution, container, design or procedure error"
108,"fatality, injury, mining"
109,"fire - consequence, warehousing, fatality, injury"
110,"storage tanks, fire - consequence, damage to equipment"
111,fire - consequence
112,"fatality, mining"
113,"pollution, demolition, leak, ecological damage, people, environmental"
114,
115,"fire - consequence, evacuation, damage to equipment, storage"
116,"fire - consequence, operational activities, mining"
117,"offshore, fire - consequence"
118,"material of construction failure, storage tanks, pollution, ecological damage"
119,"fatality, injury, mining"
120,"fire - consequence, damage to equipment, weather effects, fuel gas"
121,"pollution, ecological damage, material transfer"
122,"fire - consequence, storage tanks"
123,"vapour cloud explosion, injury, mining"
124,"excavation damage, human causes, fatality, injury"
125,"flange failure, storage tanks, gas / vapour release, environmental, ecological damage, human causes"
126,"solids processing, injury, mining"
127,"design or procedure error, vapour cloud explosion, injury, mining"
128,"evacuation, design or procedure error"
129,"fire - consequence, deliberate acts, processing, storage, evacuation, injury"
130,"fire - consequence, exploration, offshore, maintenance, injury"
131,"storage tanks, pipeline failure, gas / vapour release, spill"
132,"fatality, storage tanks, propane"
133,"storage tanks, corrosion, design or procedure error, pollution, environmental"
134,"storage tanks, spill, design or procedure error"
135,"contractor error, demolition, evacuation, gas / vapour release"
136,"storage tanks, operation inadequate"
137,"storage tanks, road vehicle, human causes, fatality, injury"
