IncidentID,Keywords,activities,causes,consequences,equipment
1,"damage to equipment, safety procedures inadequate",operational_act1,human_cau4,"explosion_con2, plant_con7","mechancalhandling_eq3, packaging_eq4"
2,"burns, injury",operational_act1,equipment_cau2,"explosion_con2, people_con6",equipment_NA
3,"welding, road tanker, fatality, injury",operational_act1,causes_NA,"explosion_con2, people_con6","pipingfittings_eq5, transport_eq16"
4,"road transport, injury",operational_act1,causes_NA,"explosion_con2, people_con6",equipment_NA
5,"inspection, spill, power plant",operational_act1,causes_NA,environmental_con1,equipment_NA
6,"fall, fatality, unknown chemicals",operational_act1,causes_NA,people_con6,storage_eq13
7,"people, injury",operational_act1,causes_NA,people_con6,storage_eq13
8,"marine tanker, leak, hydrocarbon, cleaning fluid, ecological damage",operational_act1,causes_NA,environmental_con1,transport_eq16
9,"fire - consequence, damage to equipment",operational_act1,causes_NA,"explosion_con2, fire_con3, plant_con7",pipingfittings_eq5
10,"fall, silo/hopper, injury",operational_act1,causes_NA,people_con6,storage_eq13
11,injury,operational_act1,causes_NA,"environmental_con1, people_con6",pipingfittings_eq5
12,"start-up, injury",operational_act1,causes_NA,"explosion_con2, people_con6",equipment_NA
13,cleaning,operational_act1,causes_NA,plant_con7,tools_eq15
14,"pipeline failure, near miss","operational_act1, transportation_act3",equipment_cau2,"nearmiss_con5, plant_con7",", pipingfittings_eq5"
15,"fire - consequence, fatality, burns, injury",operational_act1,causes_NA,"explosion_con2, fire_con3, people_con6",storage_eq13
16,"fire - consequence, hot surface, evacuation, burns, injury",operational_act1,external_cau3,"fire_con3, people_con6",equipment_NA
17,"entry into confined space, safety procedures inadequate, road tanker, asphyxiation, fatality",operational_act1,human_cau4,people_con6,transport_eq16
18,"burns, centrifuge, injury",operational_act1,causes_NA,"explosion_con2, people_con6",separation_eq11
19,fire - consequence,operational_act1,causes_NA,fire_con3,storage_eq13
20,"fire - consequence, contamination, mechanical equipment failure, injury",operational_act1,equipment_cau2,"fire_con3, people_con6",", pipingfittings_eq5"
21,"cleaning, fatality, tools & access equipment, asphyxiation, chemicals unknown",operational_act1,causes_NA,people_con6,equipment_NA
22,"road transport, damage to equipment",operational_act1,equipment_cau2,"explosion_con2, plant_con7",equipment_NA
23,"road transport, injury","operational_act1, processing_act2",causes_NA,"explosion_con2, people_con6",storage_eq13
24,"evacuation, fire - consequence, fatality, safety procedures inadequate, injury",operational_act1,human_cau4,"fire_con3, people_con6",storage_eq13
25,"hot surface, fatality, fire - consequence",operational_act1,external_cau3,"fire_con3, people_con6",equipment_NA
26,"fire - consequence, evacuation, plant shutdown, design or procedure error",operational_act1,causes_NA,"fire_con3, people_con6, plant_con7",storage_eq13
27,"burns, sampling, process causes, fire - consequence, evacuation, injury",operational_act1,causes_NA,"explosion_con2, fire_con3, people_con6",pipingfittings_eq5
28,"contamination, fatality",operational_act1,causes_NA,"explosion_con2, people_con6",storage_eq13
29,"fatality, gas - flammable, injury","operational_act1, uncategorised_act4",causes_NA,"explosion_con2, people_con6",equipment_NA
30,"drums, leak, storage, injury","operational_act1, uncategorised_act4",causes_NA,"explosion_con2, people_con6","pipingfittings_eq5, storage_eq13"
31,"explosion, burns, injury",operational_act1,causes_NA,"explosion_con2, people_con6","pipingfittings_eq5, storage_eq13"
32,"people, injury",operational_act1,causes_NA,"explosion_con2, people_con6",storage_eq13
33,"leak, injury",operational_act1,causes_NA,"explosion_con2, people_con6",equipment_NA
34,"storage tanks, fire - consequence, fatality, injury",operational_act1,human_cau4,"explosion_con2, fire_con3, people_con6",equipment_NA
35,fire - consequence,operational_act1,causes_NA,fire_con3,reactors_eq9
36,"safety procedures inadequate, fatality, injury",operational_act1,human_cau4,"explosion_con2, people_con6",storage_eq13
37,"fire - consequence, fatality, injury",operational_act1,equipment_cau2,"fire_con3, people_con6",", storage_eq13"
38,"fire - consequence, solids processing equipment, fatality, injury",operational_act1,causes_NA,"explosion_con2, fire_con3, people_con6",equipment_NA
